question_id,question_text,correct_answer,option1,option2,option3,category_id,difficulty
1341,"In Grand Theft Auto: V, what wanted level does the player receive if they enter Zancudo Army Base north of Los Santos?",4,4,3,5,2,medium
1342,What was the name of the hero in the 80s animated video game 'Dragon's Lair'?,Dirk the Daring,Arthur,Dirk the Daring,Sir Toby Belch,2,hard
1343,"In ""Team Fortress 2"", how much health does a scout have when overhealed?",185,185,215,195,2,hard
1345,"In The Elder Scrolls: Oblivion, the horse that goes by the name Shadowmere is given by what guild?",Dark Brotherhood,Dark Brotherhood,Thieves,Fighters,2,easy
1346,Which of these is a type of monster found in Minecraft?,Skeleton,Skeleton,Werewolf,Vampire,2,easy
1348,Who is the main antagonist of Ori and the Blind Forest?,Kuro,Nibel,Kuro,Gumo,2,easy
1350,"In ""Sonic the Hedgehog 2"" for the Sega Genesis, what do you input in the sound test screen to access the secret level select?",The Lead Programmer's birthday,The Lead Programmer's birthday,"The first release date of ""Sonic the Hedgehog""",The date Sonic Team was founded,2,hard
1352,"Why were only only 300,000 copies of Uniracers were produced?","DMA Designs was sued by Pixar, preventing more copies from being produced",There was a disagreement between DMA Designs and Nintendo,It didn't sell well due to poor review scores,No public information is available,2,medium
1354,What was the original name of Crash Bandicoot?,Willie Wombat,Coco Bandicoot,Marvelous Mole,Willie Wombat,2,easy
1355,"In ""Call Of Duty: Zombies"", completing which map's easter egg will reward you with the achievement, ""Time Travel Will Tell""?",Shangri-La,Shangri-La,Ascension,Moon,2,medium
1356,"In the survival horror game, ""Cry of Fear,"" what was the name of Simon's close friend/potential love interest?",Sophie,Olivia,Sophie,Jessica,2,easy
1357,"Which of these symbols can be seen on the shirt of the 1993 video game character, Bubsy T. Bobcat?",An exclamation point,A question mark,The letter B,An exclamation point,2,medium
1359,"Which of these is NOT a playable character race in the video game ""Starbound""?",Fenerox,Floran,Novakid,Fenerox,2,medium
1360,Which Kirby game first introduced Copy Abilities?,Kirby's Adventure,Kirby Super Star,Kirby's Dream Land 2,Kirby's Dream Land,2,easy
1361,What CS:GO case contains the Butterfly Knife?,Breakout Case,Shadow Case,Vanguard Case,Breakout Case,2,medium
1362,"In the game ""Terraria"", which of these bosses are pre-hardmode bosses?",Eye of Cthulhu,Plantera,Skeletron Prime,Eye of Cthulhu,2,medium
1366,One of the Nintendo Entertainment System voice channels supports playback of sound samples. Which one?,DMC,Noise,DMC,Triangle,2,medium
1367,Which game was the first time Mario was voiced by Charles Martinet?,Mario's Game Gallery,Super Mario 64,Mario Tennis,Dr. Mario 64,2,medium
1368,"Which horror movie had a sequel in the form of a video game released in August 20, 2002?",The Thing,The Evil Dead,The Thing,Saw,2,medium
1369,"In the Video Game, Half-life, what type of US military force starts clearing out the Black Mesa Research Facility?",The HECU,Navy Seals,The Combine,The Marines,2,easy
1372,"Who is the villain company in ""Stardew Valley""?",Joja Co,Joja Co,Ronin,Empire,2,medium
1374,"In Diablo lore, this lesser evil spawned from one of the seven heads of Tathamet, and was known as the Maiden of Anguish.",Andariel,Valla,Malthael,Kashya,2,hard
1376,What is the protagonist's title given by the demons in DOOM (2016)?,Doom Slayer,Doom Slayer,Doom Guy,Doom Marine,2,easy
1378,In which Mario game did the Mega Mushroom make its debut?,Mario Party 4,New Super Mario Bros.,Mario Kart Wii,Super Mario 3D World,2,medium
1379,Who is the leader of Team Mystic in Pokémon Go?,Blanche,Candela,Blanche,Spark,2,easy
1382,What is the homeworld of the Elites from Halo?,Sanghelios,Te,Sanghelios,Doisac,2,hard
1383,"In the Super Mario Bros. Series, what is Yoshi's scientific name?",T. Yoshisaur Munchakoopas,Yoshi,T. Yoshisotop Munchakoopas,T. Yoshisaur Munchakoopas,2,hard
1385,How many people can you recruit in the game Suikoden in a single playthrough?,107,108,93,96,2,hard
1387,"In Overwatch, how old is Reinhardt Wilhelm?",61,59,61,65,2,medium
1388,"Half-Life by Valve uses the GoldSrc game engine, which is a highly modified version of what engine?",Quake Engine,Doom Engine,Quake Engine,id Engine,2,easy
1390,What is the most expensive weapon in Counter-Strike: Global Offensive?,Scar-20/G3SG1,M4A1,AWP,Scar-20/G3SG1,2,easy
1391,"Which pop singer was brought in by SEGA to produce the music for ""Sonic the Hedgehog 3""?",Michael Jackson,Prince,Michael Jackson,George Michael,2,medium
1392,"What is the name of the game developer who created ""Call Of Duty: Zombies""?",Treyarch,Sledgehammer Games,Infinity Ward,Treyarch,2,easy
1394,"In Cook, Serve, Delicious!, which food is NOT included in the game?",Pie,Pie,Shish Kabob,Hamburger,2,medium
1396,"In the Pokémon series, what is Palkia's hidden ability?",Telepathy,Pressure,Telepathy,Water Bubble,2,hard
1397,"What type of genre is the controversial 2015 game ""Hatred""?",Shoot 'Em Up,Point & Click,Shoot 'Em Up,MMORPG,2,medium
1400,"Which of the following Pokemon Types was present in the original games, Red and Blue?",Ice,Steel,Dark,Ice,2,easy
1401,Which one of these games came out first?,Terraria,Minecraft,Starbound,Factorio,2,medium
1402,In what city in the dystopia alternate future of Half-Life 2 do you first start in?,City 17,City 18,City 6,City 17,2,easy
1403,"In PROTOTYPE 2, which of the following abilities/weapons is NOT obtained by an Evolved?",Tendrils,Blade,Tendrils,Bio-Bomb,2,medium
1405,Which country is featured in Ace Combat 5: The Unsung War?,Osea,Aurelia,Australia,Osea,2,medium
1406,"In the ""Ace Attorney"" series, who was the truly responsible of the forging of the autopsy report of the pivotal IS-7 incident?",Bansai Ichiyanagi,Manfred Von Karma,Bansai Ichiyanagi,Gregory Edgeworth,2,hard
1407,"Which monster in ""Monster Hunter Tri"" was causing earthquakes in Moga Village?",Ceadeus,Alatreon,Ceadeus,Rathalos,2,hard
1408,How many obsidian blocks are required to build a nether portal in Minecraft?,10,10,14,13,2,easy
1409,"Which occupation did John Tanner, the main protagonist for Driver and Driver 2, had before turning into an undercover cop?",Racing Driver,Taxi Driver,Racing Driver,Delivery Driver,2,hard
1412,"Of the following space shooter games, which came out first?",Space Invaders,Galaxian,Galaga,Sinistar,2,medium
1413,The acronym DOTA stands for,Defense of the Ancients,Defense of the Artifacts,Defense of the Ancients,Defense of the Antiques,2,easy
1416,"In the game ""Overwatch,"" what are the names of the two Australian criminals from the Junkers faction?",Junkrat and Roadhog,Junkrat and Roadhog,Roadrat and Junkhog,Ana and Pharah,2,easy
1417,"The original mascot of the popular Nintendo game, ""Splatoon"" was going to be...",Mario,Inklings,Octolings,Zelda,2,medium
1419,"In ""Overwatch"", what is the name of Mercy's ""ultimate ability""?",Valkyrie,Valkyrie,Earthshatter,Rocket Barrage,2,medium
1420,"In the Animal Crossing series, which flower is erroneously called the ""Jacob's Ladder""?",Lily of the Valley,Hydrangea,Harebell,Lily of the Valley,2,hard
1425,"In ""Kingdom Hearts"", what is the name of Sora's home world?",Destiny Islands,Agrabah,Destiny Islands,Land of Departure,2,medium
1426,What is Pikachu's National PokéDex Number?,#025,#001,#031,#025,2,easy
1427,"In ""Call Of Duty: Zombies"", completing which map's main easter egg will reward you with the achievement, ""Little Lost Girl""?",Origins,Revelations,Moon,Tranzit,2,medium
1430,Which of the following Zelda games did not feature Ganon as a final boss?,Majora's Mask,Ocarina of Time,Skyward Sword,Breath of the Wild,2,easy
1431,Which of these characters from Final Fantasy VIII primarily spoke in one word sentences?,Fujin,Raijin,Seifer,Fujin,2,hard
1432,Which company is the one responsible for creating the strategy videogame Stellaris?,Paradox Development Studio,Overkill Software,Tripwire Interactive LLC,Ensemble Studios,2,easy
1433,"How many times do you fight Gilgamesh in ""Final Fantasy 5""?",6,6,4,5,2,easy
1436,"In the Mario Kart series, which game introduced the ""Shield Drifting"" mechanic?",Mario Kart Arcade GP DX,Mario Kart: Double Dash,Mario Kart Super Circuit,Mario Kart DS,2,hard
1438,"In World of Warcraft lore, who was first to have the title ""The Ashbringer""?",Alexandros Mograine,Alexandros Mograine,Tirion Fordring,Arthas Menethil,2,medium
1439,The “fairy” type made it’s debut in which generation of the Pokemon core series games?,6th,2nd,6th,7th,2,easy
1440,"In the ""Pikmin"" games, which of the following pikmin colors lacks it's own ""Onion"" nest?",Purple,Purple,Winged,Blue,2,hard
1441,"In Touhou 12: Undefined Fantastic Object, which of these was not a playable character?",Izayoi Sakuya,Hakurei Reimu,Kirisame Marisa,Kochiya Sanae,2,medium
1445,"Excluding their instructor, how many members of Class VII are there in the game ""Legend of Heroes: Trails of Cold Steel""?",9,6,10,3,2,medium
1447,Who's the voice actor for Thrall in the Warcraft game series?,Chris Metzen,Ben Affleck,Jason Derulo,Chris Metzen,2,easy
1448,"Which of these is the name of a cut enemy from ""Half-Life 2""?",Hydra,Cthulu,Hydra,Spike,2,medium
1449,"In Terraria, what does the Wall of Flesh not drop upon defeat?",Picksaw,Picksaw,Pwnhammer,Breaker Blade,2,medium
1451,What is the maximum HP in Terraria?,500,400,1000,500,2,easy
1452,"In Fallout 4, which type of power armor is first encountered in the early mission ""When Freedom Calls"" in a crashed Vertibird?",T-45,T-51,T-45,T-60,2,medium
1454,"In which order do you need to hit some Deku Scrubs to open the first boss door in ""Ocarina of Time""?","2, 3, 1","1, 2, 3","1, 3, 2","2, 1, 3",2,medium
1461,"In the ""Portal"" series, who was Cave Johnson's personal assistant?",Caroline,Heather,Caroline,Melissa,2,medium
1463,"In ""Starbound"", what is the max HP of the monster ""Punchy""?","50,000 HP","9,000,000 HP","50,000 HP",100 HP,2,hard
1465,"In ""Phoenix Wright: Ace Attorney"" which character is the District Chief of Police?",Damon Gant,Miles Edgeworth,Lana Skye,Damon Gant,2,easy
1466,"In the game ""Overwatch,"" which quote does the hero ""McCree"" NOT say upon using his flashbang ability?","""You done?""","""Whoa there.""","""You done?""","""Hold up now.""",2,hard
1470,"In ""Call Of Duty: Zombies"", completing which map's main easter egg will reward you with the achievement, ""High Maintenance""?",Die Rise,Mob Of The Dead,Die Rise,Origins,2,medium
1471,"Which franchise does the creature ""Slowpoke"" originate from?",Pokemon,Dragon Ball,Sonic The Hedgehog,Pokemon,2,easy
1472,"Which team won the ""Tom Clancy's Rainbow Six Siege"" Invitational Event February 2017 in the PC Category?",Continuum,Continuum,GIFU,Santos Dexterity,2,hard
1473,"Which of the following weapons in ""Counter-Strike: Global Offensive"" does not have a right-click function?",XM1014,SG553,XM1014,R8 Revolver,2,easy
1477,"In ""The Binding of Isaac"", which item instantly kills Mom and Mom's Heart?",The Bible,The Bible,The Halo,Brimstone,2,hard
1478,"In the world strategy game 'Sid Meier's Civilization', a programming bug caused the AI depiction of Gandhi to do which of the following?",Become aggressive and launch nuclear strikes,Begin speaking in German,Become friendly and trade his entire wealth,Become aggressive and launch nuclear strikes,2,medium
1479,Which of the following is not a character in the Street Fighter series?,Mai Shiranui,Laura Matsuda,Sakura Kasugano,Mai Shiranui,2,easy
1484,"In ""Resident Evil 2"", what is Leon Kennedy's middle name?",Scott,Shaun,Simon,Sam,2,medium
1486,"What happened to Half-Life 2 prior to its release, which resulted in Valve starting over the development of the game?",The source code got leaked,They weren't satisfied with the result,The story was not good enough,The source code got leaked,2,medium
1487,What was the first Call of Duty game to include the Zombies gamemode?,Call of Duty: World at War,Call of Duty: Black Ops,Call of Duty: Modern Warfare 2,Call of Duty: Black Ops III,2,medium
1488,"What is the main theme song of ""Sonic Adventure 2""?",Live and Learn,Open Your Heart,Live and Learn,Can You Feel the Sunshine?,2,hard
1497,Which of these is NOT the name of a team leader in Pokémon GO?,Leif,Blanche,Leif,Spark,2,medium
1498,"League of Legends, DOTA 2, Smite and Heroes of the Storm are all part of which game genre?",Multiplayer Online Battle Arena (MOBA),Real Time Strategy (RTS),First Person Shooter (FPS),Role Playing Game (RPG),2,easy
1499,"During the game's development, what was the first ever created Pokémon?",Rhyhorn,Bulbasaur,Rhyhorn,Mew,2,medium
1502,In what year were screenshots added to Steam?,2011,2010,2011,2008,2,medium
1504,"Counting the Blood and Wine DLC, how many Hero Cards are there in total in The Witcher 3?",25,30,20,15,2,hard
1508,What was the world's first handheld game device?,Mattel Auto Race,Mattel Auto Race,Game Boy,Microvision,2,hard
1512,What was the #1 selling game on Steam by revenue in 2016?,Sid Meier's Civilization VI,Grand Theft Auto V,Sid Meier's Civilization VI,Counter Strike: Global Offensive,2,medium
1513,What is the name of the island introduced in the ARMA III: APEX expansion pack?,Tanoa,Altis,Stratis,Tanoa,2,medium
1516,"In the video game Overwatch, which playable character is infamous for saying ""It's high noon.""?",McCree,Hanzo,Pharah,McCree,2,easy
1517,Which team won the first Overwatch League championship?,London Spitfire,Philadelphia Fusion,New York Excelsior,Seoul Dynasty,2,medium
1520,"Which popular First Person Shooter (FPS) franchise, got a Real Time Strategy (RTS) game developed based on its universe?",Halo,Battlefield,Call of Duty,Borderlands,2,easy
1521,"In Counter-Strike: Global Offensive, what's the rarity of discontinued skins called?",Contraband,Discontinued,Diminished,Limited,2,easy
1523,"In which location does Dark Sun Gwyndolin reside in ""Dark Souls""?",Anor Londo,Anor Londo,Firelink Shrine,Blighttown,2,medium
1529,"In what year was ""Super Mario Sunshine"" released?",2002,2002,2003,2000,2,medium
1531,"In which game did the character ""Mario"" make his first appearance?",Donkey Kong,Super Mario Bros.,Donkey Kong,Super Mario Land,2,hard
1533,This weapon in Counter-Strike: Global Offensive does not exist in real life.,M4A4,AWP,M4A1,M4A4,2,medium
1534,"What Ultimate does Makoto Naegi, protagonist of Danganronpa: Trigger Happy Havoc, have?",Ultimate Lucky Student,Ultimate Unlucky Student,Ultimate Lucky Student,Ultimate Detective,2,easy
1536,"What is the 4th boss in the 1997 video game ""Crash Bandicoot 2: Cortex Strikes Back""?",Dr. N. Gin,Dr. Neo Cortex,Komodo Brothers,Dr. N. Gin,2,hard
1537,"The protagonist of the hit game, Half-Life 2 is called:",Gordon Freeman,Alyx Vance,Isaac Kleiner,Wallace Breen,2,easy
1539,"In Divinity: Original Sin II, what is the name of the skeletal origin character?",Fane,Lohse,The Red Prince,There are no skeletal origin characters,2,easy
1542,"In vanilla Minecraft, which of the following cannot be made into a block?",Charcoal,Charcoal,Coal,Wheat,2,easy
1544,What is Gabe Newell's favorite class in Team Fortress 2?,Spy,Spy,Heavy,Medic,2,easy
1547,"How much did the indie game ""Cave Story"" cost when it was first released in 2004?",$0 USD,$0 USD,$5 USD,$10 USD,2,medium
1549,Which CS:GO eSports team won the major event ESL One Cologne 2016?,SK Gaming,Team Liquid,SK Gaming,Fnatic,2,medium
1550,Which Game Boy from the Game Boy series of portable video game consoles was released first?,Game Boy Color,Game Boy Advance,Game Boy Color,Game Boy Micro,2,easy
1552,"Who is the founder of Team Fortress 2's fictional company ""Mann Co""?",Zepheniah Mann,Zepheniah Mann,Cave Johnson,Wallace Breem,2,easy
1553,Which of these is NOT a Humongous Entertainment game franchise?,Commander Keen,Pajama Sam,Putt-Putt,Commander Keen,2,easy
1554,"Which artist composed the original soundtrack for ""Watch Dogs 2""?",Hudson Mohawke,Hudson Mohawke,Rustie,Machinedrum,2,hard
1557,"In the game Pokémon Conquest, how many kingdoms make up the region of Ransei?",17,18,15,16,2,medium
1558,"In ""Call Of Duty: Zombies"", which map's opening cutscene shows ""Richtofen"" killing another version of himself?",The Giant,Shadows Of Evil,The Giant,Der Eisendrache,2,hard
1559,"In the ""Halo"" series, what is the name of the race of aliens humans refer to as ""Grunts""?",Unggoy,Huragok,Unggoy,Sangheili,2,hard
1561,What is the name of the main island in PLAYERUNKNOWN'S BATTLEGROUNDS?,Erangel,Marmara,Erangel,Severny,2,hard
1562,Which of the following is NOT one of the main characters in Grand Theft Auto V’s story mode?,Tommy Vercetti,Michael de Santa,Tommy Vercetti,Franklin Clinton,2,easy
1563,Which of these characters was NOT planned to be playable for Super Smash Bros. 64?,Peach,Bowser,Mewtwo,King Dedede,2,medium
1566,Which game is NOT part of the Science Adventure series by 5pb. and Nitroplus?,Occultic; Nine,Steins; Gate,Robotics; Notes,Chaos; Child,2,medium
1568,"In the Gamecube Version of ""Resident Evil"" what text document is open on the monitor of the computer in the Visual Data Room?",A GDC Document,A GDC Document,Text Document on Herbs,Nothing,2,hard
1569,Which of the following created and directed the Katamari Damacy series?,Keita Takahashi,Hideki Kamiya,Shu Takumi,Keita Takahashi,2,medium
1570,"In the Pokémon series, which type is Sudowoodo, the Imitation Pokémon?",Rock,Rock,Grass,Bug,2,medium
1571,"How long was the World Record Speed Run of Valve Software's ""Half-Life"" that was done in 2014.","20 Minutes, 41 Seconds","45 Minutes, 32 Seconds","5 Minutes, 50 Seconds","12 Minutes, 59 Seconds",2,hard
1572,"Which character in Undertale tells you that you're ""gonna have a bad time""?",Sans,Sans,Undyne,Asgore,2,easy
1573,Which of these game franchises were made by Namco?,Tekken,Street Fighter,Tekken,Mortal Kombat,2,medium
1574,How many total monsters appear in Monster Hunter Generations?,105,100,98,73,2,hard
1577,"In the 2015 RPG ""Undertale"", which character do you first encounter after falling down into the underground?",Flowey,Toriel,Sans,Flowey,2,medium
1581,"In what year was the first ""Mass Effect"" game released?",2007,2008,2009,2010,2,easy
1582,"Which Crypt of the NecroDancer (2015) character has a soundtrack by Jake ""Virt"" Kaufman?",Uncle Eli,Cadence,Nocturna,Octavian (Bard),2,medium
1587,"In ""Resident Evil 2"", which virus was William Birkin mutated by?",G-Virus,T-Virus,C-Virus,G-Virus,2,medium
1589,"Who is the protagonist of the videogame ""Dead Rising 2""?",Chuck Greene,Nick Ramos,Frank West,Chuck Greene,2,medium
1592,Who is the main villain of Kirby's Return to Dreamland?,Magolor,Magolor,Landia,King Dedede,2,medium
1593,What is the name of your team in Star Wars: Republic Commando?,Delta Squad,Delta Squad,The Commandos,Bravo Six,2,hard
1596,"In Left 4 Dead, what is the name of the virus, as designated by CEDA, that causes most humans to turn into the Infected?",Green Flu,Yellow Fever,T-Virus,Green Flu,2,medium
1597,"In the game Paper Mario for the Nintendo 64 the first partner you meet is a Goomba, what is its name?",Goombario,Goombella,Goombarry,Goombario,2,medium
1598,"In TF2 Lore, what are the names of the Heavy's younger sisters?",Yana and Bronislava,Yana and Bronislava,Gaba and Anna,Yanna and Gaba,2,hard
1599,"In the video game ""Team Fortress 2"", which class is able to double jump?",Scout,Spy,Scout,Engineer,2,easy
1600,"What was the name of the game created by Masahiro Sakurai and Satoru Iwata that would eventually evolve into ""Super Smash Bros.""?",Dragon King: The Fighting Game,Nintendo Legends: Fight!,Martial Arts: King of the Hill,Aerial Warriors: Supreme Battle,2,hard
1602,Which of the following is NOT an official game in Nintendo's Super Smash Bros. series?,Super Smash Bros. Crusade,Super Smash Bros. Melee,Super Smash Bros. Brawl,Super Smash Bros. Crusade,2,medium
1604,"In the ""Ace Attorney"" series, what is the relationship between Apollo Justice and Trucy Wright?",They're half-siblings,They're co-workers,They're half-siblings,They're friends,2,medium
1605,"In Skylanders Giants, why was Zaps' Wow Pow named ""For Riley"" ?",As a tribute to a fan who passed away,As a reference to a film,After one of the writers of the game,As a tribute to a fan who passed away,2,medium
1607,What was the name of the protagonist of Metal Gear Solid V: The Phantom Pain?,"Punished ""Venom"" Snake","Punished ""Venom"" Snake",Miller,Solid Snake,2,medium
1608,What is the name of the adventurer you meet at the mines in Stardew Valley?,Marlon,Marnie,Morris,Marvin,2,easy
1609,"In Need For Speed Most Wanted (2005), what do you drive at the beginning of the career mode?",BMW M3 GTR,BMW M3 GTR,Porsche 911 Turbo,Nissan 240SX,2,medium
1616,Which of these is NOT a playable character in the 2016 video game Overwatch?,Invoker,Mercy,Winston,Invoker,2,easy
1618,Which of the following games was NOT included in Valve's Orange Box?,Counter-Strike,Portal,Half-Life 2: Episode Two,Counter-Strike,2,hard
1620,"In the game ""DELTARUNE"", what is Ralsei's special ability?",Pacify,Persuade,Eliminate,Pacify,2,easy
1623,"Which of these is NOT a main playable character in ""Grand Theft Auto V""?",Lamar,Lamar,Trevor,Michael,2,easy
1625,What is the name of the City in Saints Row The Third?,Steelport,Stilwater,Carcer,Steelport,2,easy
1627,"Which one of these nations was added to Civilization V with the ""Gods & Kings"" expansion?",The Netherlands,The Netherlands,The Zulu,The Ottomans,2,medium
1629,Which of the following was NOT a playable character in the game Kingdom Hearts: Birth by Sleep?,Ignis,Ventus,Terra,Aqua,2,easy
1630,"In ""Undertale"", how many main endings are there?",3,2,5,13,2,easy
1634,"In the game ""Cave Story,"" what is the character Balrog's catchphrase?",Huzzah!,Yes!,Whoa there!,Huzzah!,2,medium
1636,"Who created the indie adventure game ""Night in the Woods""?",Alec Holowka,Ron Gilbert,Alec Holowka,Tim Schafer,2,easy
1639,"What system was ""Touhou: Highly Responsive to Prayers"" released on?",PC-98,OSX 10.9.5,Windows ME,PC-98,2,medium
1640,"What Touhou Project character's first ever appearance was as a midboss in the eighth game, Imperishable Night?",Tewi Inaba,Tewi Inaba,Mystia Lorelei,Kaguya Houraisan,2,hard
1641,"Who created the pump ""F.L.U.D.D."" Mario uses in Super Mario Sunshine?",Elvin Gadd,Robert Fludd,Elvin Gadd,Nirona,2,medium
1642,"What former MOBA, created by Waystone Games and published by EA, was shut down in 2014?",Dawngate,Strife,League of Legends,Heroes of Newerth,2,medium
1643,"In the ""Worms"" series of video games, which of these weapons is affected by wind?",Bazooka,Grenade,Bazooka,Air Strike,2,easy
1648,What is the name of the main character in the video game VA-11 HALL-A: Cyberpunk Bartender Action?,Jill,Dana,Jill,Alma,2,hard
1653,"In the game ""Undertale"", who was Mettaton's creator?",Alphys,Undyne,Sans,Alphys,2,medium
1654,What was the character Kirby originally going to be named?,Popopo,Dedede,Waddle Dee,Popopo,2,medium
1656,"Which of the following characters from the game ""Overwatch"" was revealed to be homosexual in December of 2016?",Tracer,Widowmaker,Tracer,Sombra,2,easy
1657,"Which Pokemon generation did the fan-named ""Masuda Method"" first appear in?",Diamond/Pearl,Diamond/Pearl,Ruby/Sapphire,Black/White,2,easy
1659,Which of these characters wasn't a villian in Club Penguin?,The Director,Herbert P. Bear,Tusk,Ultimate Proto-Bot 10000,2,hard
1660,Which character from the Mega Man series made a small cameo on Volt Catfish's introduction scene in CD versions of Mega Man X3?,Auto,Eddie,Tango,Rush,2,hard
1662,"When Halo 3: ODST was unveiled in 2008, it had a different title. What was the game formally called?",Halo 3: Recon,Halo 3: Recon,Halo 3: Helljumpers,Halo 3: Phantom,2,medium
1663,"In the 2000 video game ""Crimson Skies,"" what was the name of the protagonists' zeppelin?",Pandora,Helios,Icarus,Pandora,2,medium
1664,"What is the name of the first level in ""Call of Duty: World at War""?",Semper Fi,Ring of Steel,Semper Fi,Vendetta,2,medium
1667,"Which of these games takes place in the Irish town of Doolin, with the option to play as one of the characters, Ellen and Keats?",Folklore,Folklore,Shadow of the Colossus,ICO,2,medium
1671,"Which game in the ""Monster Hunter"" series introduced the ""Insect Glaive"" weapon?",Monster Hunter 4,Monster Hunter Freedom,Monster Hunter Stories,Monster Hunter 2,2,hard
1673,"In vanilla Minecraft, you can make armor out of all BUT which of the following?",Emeralds,Diamonds,Iron,Emeralds,2,medium
1676,Which one of these characters is NOT a playable fighter in Super Smash Bros. Ultimate?,Kumatora,King K. Rool,Incineroar,Kumatora,2,easy
1677,"Which of these is not a character in the game, ""Lethal League""?",Rex,Rex,Switch,Candyman,2,medium
1678,"Which of these blocks in ""Minecraft"" has the lowest blast resistance?",Sand,End Stone,Water,Wood Planks,2,medium
1680,Rocket League is a game which features..,Cars,Helicopters,Planes,Submarines,2,easy
1682,What was the first PlayStation game to require the use of the DualShock controller?,Ape Escape,Metal Gear,Tekken,Tomba 2!,2,medium
1683,"In ""Kingdom Hearts"", what mission are Donald and Goofy assigned by King Mickey?",To find the Key bearer and stick with him!,To find the Key bearer and stick with him!,To find the Key bearer and steal the key!,To find the Key bearer and report back!,2,medium
1684,"In the PAYDAY series, where did Dallas start his criminal career?","Chicago, Illinois","Dallas, Texas","Chicago, Illinois","New York City, New York",2,hard
1685,What numbers did Sayaka Maizono write on the wall in Dangan Ronpa Trigger Happy Havoc?,11037,"4, 8, 15, 16, 23, 42",55730,11037,2,medium
1691,"In ""Yo! Noid 2,"" The Noid can perform what special move?",Dab,Pizza Throw,Dodge Roll,Spin Dash,2,easy
1693,What video game genre were the original Warcraft games?,RTS (Real Time Strategy),RPG (Role Playing Game),TBS (Turn Based Strategy),MMO (Massively Multiplayer Online),2,medium
1695,"Which gaming series includes ""The Diabolical Box"" and ""The Curious Village""?",Professor Layton,Persona,Professor Layton,Etrian Odyssey,2,hard
1698,In which video game did Michael Fassbender star?,Fable 3,Fable 3,Call of Duty: Modern Warfare,Assassin's Creed 3,2,hard
1699,The most graphically violent game to precede the creation of the ESRB (Entertainment Software Rating Board) was...,Mortal Kombat,Duke Nukem,Resident Evil,Doom,2,easy
1700,The default playermodel of Garry's Mod is this Half Life 2 character.,Isaac Kleiner,G-Man,Alyx Vance,Gordon Freeman,2,medium
1705,"In Dota 2, what is Earthshaker's real name?",Raigor Stonehoof,Raigor Stonehoof,Banehallow Ambry,Carl,2,medium
1709,"In Portal 2, which solar system body did Wheatley end up orbiting?",The moon,Earth,The moon,Jupiter,2,medium
1714,"Which was the first ""Call Of Duty: Zombies"" map to introduce the ""Wunderwaffe DG-2""?",Shi No Numa,Tranzit,Kino Der Toten,Shi No Numa,2,medium
1715,"In the game ""Persona 4"", what is the canonical name of the protagonist?",Yu Narukami,Chino Mashido,Tunki Sunada,Yu Narukami,2,medium
1716,"Before Super Smash Bros. contained Nintendo characters, what was it known as internally?",Dragon King: The Fighting Game,Contest of Champions,Dragon King: The Fighting Game,Smash and Pummel,2,hard
1718,Who is the main antagonist in the Portal franchise?,GLaDOS,Chell,Wheatley,GLaDOS,2,easy
1719,Who is the last boss in Night In The Woods' Demontower minigame?,The Blood Thief,Mega Hairball,King Skellie,The Blood Thief,2,easy
1725,Which one of the following titles by Valve is not based on a Community Mod?,Ricochet,Day of Defeat,Counter-Strike,Alien Swarm,2,hard
1726,"Which of the following Copy Abilities was only featured in ""Kirby & The Amazing Mirror""?",Mini,Magic,Smash,Mini,2,medium
1728,"What is the name of ""Team Fortress 2"" update, in which it became Free-to-play?",Über Update,Pyromania Update,Über Update,Mann-Conomy Update,2,easy
1729,"In Five Nights at Freddy's 1, how can you make Golden Freddy disappear?",Enable cameras,Turn on the light,Shut the door,Enable cameras,2,easy
1734,"Which of these operators from ""Tom Clancy's Rainbow Six Siege"" has the ability to damage reinforced walls?","Jordan ""Thermite"" Trace","Eliza ""Ash"" Cohen","Seamus ""Sledge"" Cowden","Dominic ""Bandit"" Brunsmeier",2,medium
1738,"In ""Starbound"", according to the asset files, the description of the ""Erchius Ghost"" is the same as which other assets?",Spookit,Spookit,Petricub,Trictus,2,hard
1742,"In the title of the game ""Luigi's Mansion"", what is the only letter to not appear with a pair of eyes in it?",s,s,n,i,2,hard
1743,"How many regular Sunken Sea Scrolls are there in ""Splatoon""?",27,32,30,5,2,medium
1744,"In Call Of Duty: Black Ops II, who is the main antagonist?",Raul Menéndez,Vladimir Makarov,Frank Woods,Raul Menéndez,2,medium
1746,How many permanent companions are there in the base game version of Fallout: New Vegas?,8,7,9,6,2,medium
1748,Gordon Freeman is said to have burnt and destroyed what food in the break room microwave?,Casserole,Sub Sandwich,Chicken Soup,Pepperoni Pizza,2,easy
1749,"In most FPS video games such as Counter-Strike, shooting which part of the body does the highest damage?",Head,Arm,Leg,Chest,2,easy
1751,Which Mario spin-off game did Waluigi make his debut?,Mario Tennis,Mario Party 3,Mario Tennis,Mario Kart: Double Dash!!,2,easy
1753,"In the game ""Red Dead Redemption"", what is the name of John Marston's dog?",Rufus,Rutus,Rufus,Finn,2,medium
1755,In what engine was Titanfall made in?,Source Engine,Frostbite 3,Source Engine,Unreal Engine,2,medium
1756,When was the original Star Wars: Battlefront II released?,"October 31, 2005","December 18, 2004","November 21, 2006","September 9, 2007",2,medium
